<version>,<mean_time>,<total>
636,1.47686,72.366
637,1.47737,72.391
638,1.48145,72.591
639,1.4819,72.613
640,1.4821,72.623
641,1.48178,72.607
642,1.48651,72.839
643,1.49241,73.128
644,1.48822,72.923
645,1.49788,73.396
646,1.49149,73.083
647,1.49541,73.275
648,1.49882,73.442
649,1.49896,73.449
650,1.50155,73.576
651,1.5008,73.539
652,1.50608,73.798
653,1.506,73.794
654,1.50982,73.981
655,1.5092,73.951
656,1.51161,74.069
657,1.51353,74.163
658,1.5179,74.377
659,1.51935,74.448
660,1.51769,74.367
661,1.52298,74.626
662,1.52253,74.604
663,1.5252,74.735
664,1.52912,74.927
665,1.53002,74.971
666,1.52878,74.91
667,1.53194,75.065
668,1.54049,75.484
669,1.53516,75.223
670,1.53976,75.448
671,1.54124,75.521
672,1.5451,75.71
673,1.54729,75.817
674,1.54896,75.899
675,1.55004,75.952
676,1.55049,75.974
677,1.55167,76.032
678,1.55382,76.137
679,1.55314,76.104
680,1.55965,76.423
681,1.56367,76.62
682,1.56104,76.491
683,1.56596,76.732
684,1.58435,77.633
685,1.57176,77.016
686,1.57133,76.995
687,1.5729,77.072
688,1.57237,77.046
689,1.57269,77.062
690,1.575,77.175
691,1.57629,77.238
692,1.58292,77.563
693,1.58492,77.661
694,1.58304,77.569
695,1.58702,77.764
696,1.58841,77.832
697,1.58645,77.736
698,1.5909,77.954
699,1.59463,78.137
700,1.59924,78.363
701,1.59796,78.3
702,1.59624,78.216
703,1.60206,78.501
704,1.60802,78.793
705,1.60469,78.63
706,1.60894,78.838
707,1.61024,78.902
708,1.61173,78.975
709,1.61151,78.964
710,1.61508,79.139
711,1.62067,79.413
712,1.62202,79.479
713,1.6238,79.566
714,1.6191,79.336
715,1.62622,79.685
716,1.62412,79.582
717,1.62631,79.689
718,1.62684,79.715
719,1.63529,80.129
720,1.63708,80.217
721,1.63394,80.063
722,1.63931,80.326
723,1.64231,80.473
724,1.64182,80.449
725,1.6442,80.566
726,1.64449,80.58
727,1.64794,80.749
728,1.65233,80.964
729,1.65392,81.042
730,1.65173,80.935
731,1.65806,81.245
732,1.66135,81.406
733,1.65971,81.326
734,1.66588,81.628
735,1.66788,81.726
736,1.66631,81.649
737,1.6691,81.786
738,1.66735,81.7
739,1.67204,81.93
740,1.67339,81.996
741,1.67508,82.079
742,1.67708,82.177
743,1.67998,82.319
744,1.67935,82.288
745,1.68849,82.736
746,1.68586,82.607
747,1.68863,82.743
748,1.68969,82.795
749,1.69231,82.923
750,1.69396,83.004
751,1.69508,83.059
752,1.69604,83.106
753,1.70047,83.323
754,1.70471,83.531
755,1.70361,83.477
756,1.70594,83.591
757,1.70837,83.71
758,1.71031,83.805
759,1.71378,83.975
760,1.71671,84.119
761,1.71912,84.237
762,1.716,84.084
763,1.71614,84.091
764,1.7192,84.241
765,1.71906,84.234
766,1.72443,84.497
767,1.7321,84.873
768,1.73161,84.849
769,1.73465,84.998
770,1.73455,84.993
771,1.73998,85.259
772,1.74067,85.293
773,1.74327,85.42
774,1.74359,85.436
775,1.74867,85.685
776,1.74331,85.422
777,1.75669,86.078
778,1.74614,85.561
779,1.75459,85.975
780,1.7508,85.789
781,1.75724,86.105
782,1.75929,86.205
783,1.75978,86.229
784,1.75859,86.171
785,1.76263,86.369
786,1.76041,86.26
787,1.76594,86.531
788,1.76716,86.591
789,1.76733,86.599
790,1.768,86.632
791,1.77165,86.811
792,1.77243,86.849
793,1.7709,86.774
794,1.77457,86.954
795,1.77463,86.957
796,1.77965,87.203
797,1.77829,87.136
798,1.77349,86.901
799,1.77971,87.206
800,1.78514,87.472
801,1.78388,87.41
802,1.7872,87.573
803,1.78963,87.692
804,1.79416,87.914
805,1.79529,87.969
806,1.79939,88.17
807,1.79788,88.096
808,1.80165,88.281
809,1.80029,88.214
810,1.79967,88.184
811,1.80735,88.56
812,1.8101,88.695
813,1.81124,88.751
814,1.8142,88.896
815,1.81912,89.137
816,1.82104,89.231
817,1.82241,89.298
818,1.82186,89.271
819,1.82386,89.369
820,1.82353,89.353
821,1.82816,89.58
822,1.83104,89.721
823,1.83282,89.808
824,1.83337,89.835
825,1.83324,89.829
826,1.83659,89.993
827,1.84224,90.27
828,1.84212,90.264
829,1.84433,90.372
830,1.84153,90.235
831,1.85012,90.656
832,1.84818,90.561
833,1.85386,90.839
834,1.85037,90.668
835,1.84914,90.608
836,1.85837,91.06
837,1.85769,91.027
838,1.86204,91.24
839,1.86086,91.182
840,1.86398,91.335
841,1.86745,91.505
842,1.87055,91.657
843,1.87259,91.757
844,1.8681,91.537
845,1.86955,91.608
846,1.87349,91.801
847,1.87347,91.8
848,1.88035,92.137
849,1.88269,92.252
850,1.88082,92.16
851,1.88576,92.402
852,1.88506,92.368
853,1.88716,92.471
854,1.88824,92.524
855,1.89108,92.663
856,1.8931,92.762
857,1.89357,92.785
858,1.91412,93.792
859,1.98918,97.47
860,1.9332,94.727
861,1.90306,93.25
862,1.90863,93.523
863,1.90851,93.517
864,1.91029,93.604
865,1.9121,93.693
866,1.91459,93.815
867,1.9181,93.987
868,1.91865,94.014
869,1.91837,94
870,1.92314,94.234
871,1.925,94.325
872,1.9261,94.379
873,1.9322,94.678
874,1.92745,94.445
875,1.93133,94.635
876,1.934,94.766
877,1.93763,94.944
878,1.93708,94.917
879,1.94137,95.127
880,1.94533,95.321
881,1.94059,95.089
882,1.9448,95.295
883,1.95192,95.644
884,1.94947,95.524
885,1.95431,95.761
886,1.95253,95.674
887,1.95518,95.804
888,1.95943,96.012
889,1.96139,96.108
890,1.96108,96.093
891,1.96398,96.235
892,1.96484,96.277
893,1.96418,96.245
894,1.96727,96.396
895,1.97131,96.594
896,1.97271,96.663
897,1.97312,96.683
898,1.97314,96.684
899,1.97718,96.882
900,1.97933,96.987
901,1.98094,97.066
902,1.98767,97.396
903,1.98651,97.339
904,1.98641,97.334
905,1.99163,97.59
906,1.9892,97.471
907,1.99906,97.954
908,1.99743,97.874
909,1.99835,97.919
